Lambda	b	b0	p	w
41092.000000	44.423952	0.000000	-0.066032	-0.041972
41097.300781	56.611635	0.000000	-0.034187	-0.004648
41102.699219	36.791785	0.000000	0.000168	0.022439
41108.101562	8.437928	0.000000	0.019874	0.034135
41113.398437	25.612813	0.000000	0.012317	0.031529
41118.699219	25.465700	0.000000	0.015673	0.035062
41124.000000	30.195164	0.000000	0.019599	0.039410
41129.300781	34.606956	0.000000	0.022254	0.041809
41134.601562	46.157862	0.000000	0.025037	0.045822
41139.898437	59.861669	0.000000	0.027640	0.050271
41145.199219	77.410632	0.000000	0.030306	0.055902
41150.398437	94.017716	0.000000	0.031893	0.060885
41155.699219	105.246054	0.000000	0.031544	0.063409
41160.898437	108.175762	0.000000	0.028851	0.061197
41166.199219	103.794656	0.000000	0.024837	0.056331
41171.398437	95.203690	0.000000	0.020743	0.049933
41176.601562	83.760727	0.000000	0.016831	0.043955
41181.800781	71.409257	0.000000	0.013335	0.038746
41187.000000	57.662059	0.000000	0.009336	0.033961
41192.199219	41.716853	0.000000	0.004889	0.027602
41197.398437	26.250792	0.000000	0.000591	0.021500
41202.500000	12.794097	0.000000	-0.003485	0.014823
41207.699219	-1.868807	0.000000	-0.007891	0.007417
41212.800781	-9.173886	0.000000	-0.011475	0.001762
41218.000000	-13.085554	0.000000	-0.014555	-0.001850
41223.101562	-16.357681	0.000000	-0.016773	-0.004554
41228.300781	-17.202717	0.000000	-0.017449	-0.004535
41233.398437	-18.669078	0.000000	-0.017440	-0.005077
